Simbolo [simbolo=实, probabilidad=0.0011389521640091116, codigoHuffman=1111110000]
Simbolo [simbolo=血, probabilidad=0.003416856492027335, codigoHuffman=01011100]
Simbolo [simbolo=拉, probabilidad=0.003416856492027335, codigoHuffman=01011101]
Simbolo [simbolo=敢, probabilidad=0.003416856492027335, codigoHuffman=01010010]
Simbolo [simbolo=傲, probabilidad=0.003416856492027335, codigoHuffman=01010011]
Simbolo [simbolo=胜, probabilidad=0.003416856492027335, codigoHuffman=01010000]
Simbolo [simbolo=来, probabilidad=0.003416856492027335, codigoHuffman=01010001]
Simbolo [simbolo=着, probabilidad=0.003416856492027335, codigoHuffman=01010110]
Simbolo [simbolo=回, probabilidad=0.003416856492027335, codigoHuffman=01010111]
Simbolo [simbolo=“, probabilidad=0.003416856492027335, codigoHuffman=01010100]
Simbolo [simbolo=名, probabilidad=0.003416856492027335, codigoHuffman=01010101]
Simbolo [simbolo=让, probabilidad=0.004555808656036446, codigoHuffman=10111000]
Simbolo [simbolo=冠, probabilidad=0.004555808656036446, codigoHuffman=10111001]
Simbolo [simbolo=如, probabilidad=0.004555808656036446, codigoHuffman=10111110]
Simbolo [simbolo=者, probabilidad=0.004555808656036446, codigoHuffman=10111111]
Simbolo [simbolo=圣, probabilidad=0.004555808656036446, codigoHuffman=10111100]
Simbolo [simbolo=上, probabilidad=0.004555808656036446, codigoHuffman=10111101]
Simbolo [simbolo=个, probabilidad=0.004555808656036446, codigoHuffman=10110010]
Simbolo [simbolo=用, probabilidad=0.004555808656036446, codigoHuffman=10110011]
Simbolo [simbolo=加, probabilidad=0.004555808656036446, codigoHuffman=10110000]
Simbolo [simbolo=投, probabilidad=0.004555808656036446, codigoHuffman=10110001]
Simbolo [simbolo=团, probabilidad=0.004555808656036446, codigoHuffman=10110110]
Simbolo [simbolo=；, probabilidad=0.004555808656036446, codigoHuffman=10110111]
Simbolo [simbolo=中, probabilidad=0.004555808656036446, codigoHuffman=10110100]
Simbolo [simbolo=里, probabilidad=0.004555808656036446, codigoHuffman=10110101]
Simbolo [simbolo=看, probabilidad=0.004555808656036446, codigoHuffman=01111010]
Simbolo [simbolo=？, probabilidad=0.004555808656036446, codigoHuffman=01111011]
Simbolo [simbolo=勇, probabilidad=0.004555808656036446, codigoHuffman=01111000]
Simbolo [simbolo=民, probabilidad=0.004555808656036446, codigoHuffman=01111001]
Simbolo [simbolo=这, probabilidad=0.004555808656036446, codigoHuffman=0000010]
Simbolo [simbolo=为, probabilidad=0.0056947608200455585, codigoHuffman=0010110]
Simbolo [simbolo=荣, probabilidad=0.0056947608200455585, codigoHuffman=0010111]
Simbolo [simbolo=国, probabilidad=0.0056947608200455585, codigoHuffman=0010100]
Simbolo [simbolo=了, probabilidad=0.0056947608200455585, codigoHuffman=0010101]
Simbolo [simbolo=起, probabilidad=0.0056947608200455585, codigoHuffman=0011010]
Simbolo [simbolo=斯, probabilidad=0.0056947608200455585, codigoHuffman=0011011]
Simbolo [simbolo=阿, probabilidad=0.0056947608200455585, codigoHuffman=0011000]
Simbolo [simbolo=根, probabilidad=0.0056947608200455585, codigoHuffman=0011001]
Simbolo [simbolo=廷, probabilidad=0.0056947608200455585, codigoHuffman=0001010]
Simbolo [simbolo=利, probabilidad=0.0056947608200455585, codigoHuffman=0001011]
Simbolo [simbolo=！, probabilidad=0.00683371298405467, codigoHuffman=0100100]
Simbolo [simbolo=由, probabilidad=0.00683371298405467, codigoHuffman=0100101]
Simbolo [simbolo=它, probabilidad=0.00683371298405467, codigoHuffman=0011110]
Simbolo [simbolo=、, probabilidad=0.00683371298405467, codigoHuffman=0011111]
Simbolo [simbolo=你, probabilidad=0.007972665148063782, codigoHuffman=0111000]
Simbolo [simbolo=和, probabilidad=0.007972665148063782, codigoHuffman=0111001]
Simbolo [simbolo=：, probabilidad=0.009111617312072893, codigoHuffman=1001111]
Simbolo [simbolo=自, probabilidad=0.009111617312072893, codigoHuffman=1001100]
Simbolo [simbolo=一, probabilidad=0.009111617312072893, codigoHuffman=1001101]
Simbolo [simbolo=唱, probabilidad=0.009111617312072893, codigoHuffman=000000]
Simbolo [simbolo=人, probabilidad=0.010250569476082005, codigoHuffman=000010]
Simbolo [simbolo=到, probabilidad=0.010250569476082005, codigoHuffman=000011]
Simbolo [simbolo=合, probabilidad=0.010250569476082005, codigoHuffman=000100]
Simbolo [simbolo=在, probabilidad=0.012528473804100227, codigoHuffman=001110]
Simbolo [simbolo=们, probabilidad=0.015945330296127564, codigoHuffman=011101]
Simbolo [simbolo=。, probabilidad=0.018223234624145785, codigoHuffman=011111]
Simbolo [simbolo=，, probabilidad=0.02164009111617312, codigoHuffman=00011]
Simbolo [simbolo=他, probabilidad=0.02164009111617312, codigoHuffman=00100]
Simbolo [simbolo=的, probabilidad=0.06492027334851937, codigoHuffman=0110]
Simbolo [simbolo=enter, probabilidad=0.07061503416856492, codigoHuffman=1000]
--------------------------------------------------------------------
Entropia del código: 7.688582638594499
Longitud media del código: 7.7186788154898
Rendimiento del código: 0.9961008642003728
Redundancia del código: 0.003899135799627196
Tasa de compresión: 2.943396226415094:1
